ID,底本/出典,史料名,記述内容,記述場所,場所（町、寺名、場所データ）,年月日（作成）,年月日（作成）和,年月日（被害）,年月日（被害）和,伝聞・体験,被害種別,X,Y,備考,
11,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、祇園の鳥井西方ノ柱一本のこり、残ハくたけ申候,京都ヵ,祇園社ヵ,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7785991,35.00365364,狩野亨吉氏蒐集文書　十六、,
12,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、五れうにてハゆたて有、石のたうろの下にて小人死,京都ヵ,御霊神社ヵ,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.761822,35.036493,狩野亨吉氏蒐集文書　十六、,
13,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、五れうにてハゆたて有、石のたうろの下にて小人死,京都ヵ,御霊神社ヵ,,,1662/06/16,寛文2/05/01,伝聞ヵ,人的被害,135.761822,35.036493,狩野亨吉氏蒐集文書　十六、,
14,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、江州別辺左京知行大ミそハ侍や敷、百姓、寺不残つふれ申候,京都ヵ,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,136.0110192,35.29507812,狩野亨吉氏蒐集文書　十六、緯度経度は大溝陣屋,
15,新収日本地震史料第2巻,京都帝国大学所蔵文書,"一、くつき兵部知行所侍や敷、本所、寺、百性皆（マ、）つふれ、火事、則兵部少輔も死
兵部子ニはめくつきや五左衛門禁中御普信（請）奉行申候、是も□□□ゆたてこやに□□申候也",京都ヵ,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.9209156,35.35676617,狩野亨吉氏蒐集文書　十六、緯度経度は朽木陣屋跡,
16,新収日本地震史料第2巻,京都帝国大学所蔵文書,"一、くつき兵部知行所侍や敷、本所、寺、百性皆（マ、）つふれ、火事、則兵部少輔も死
兵部子ニはめくつきや五左衛門禁中御普信（請）奉行申候、是も□□□ゆたてこやに□□申候也",京都ヵ,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞ヵ,火事,135.9209156,35.35676617,狩野亨吉氏蒐集文書　十六,
17,新収日本地震史料第2巻,京都帝国大学所蔵文書,"一、くつき兵部知行所侍や敷、本所、寺、百性皆（マ、）つふれ、火事、則兵部少輔も死
兵部子ニはめくつきや五左衛門禁中御普信（請）奉行申候、是も□□□ゆたてこやに□□申候也",京都ヵ,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞ヵ,人的被害,135.9209156,35.35676617,狩野亨吉氏蒐集文書　十六,
18,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、せゝ城のやくらつふる、小仕三人見えす,京都ヵ,膳所城,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.8949248,34.99547702,狩野亨吉氏蒐集文書　十六、緯度経度は膳所城跡,
19,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、京中町の家三十家程くつる,京都ヵ,京都,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7681095,35.0116707,"狩野亨吉氏蒐集文書　十六
緯度経度は便宜的に京都市役所地点",
20,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、蔵のつふれ申候ハ数不知,京都ヵ,京都ヵ,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7681095,35.0116707,"狩野亨吉氏蒐集文書　十六
緯度経度は便宜的に京都市役所地点",
21,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、う治上林法順竹蔵（カ）つほくらつふれ申候、ちや共皆ひとつに成申候、公方御つほ、くらへ不入前つほくらくつれ申候由也、公方御物のつほそこねす,京都ヵ,宇治,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.800191,34.884342,狩野亨吉氏蒐集文書　十六、緯度経度は宇治市役所周辺,
22,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、う治上林法順竹蔵（カ）つほくらつふれ申候、ちや共皆ひとつに成申候、公方御つほ、くらへ不入前つほくらくつれ申候由也、公方御物のつほそこねす,京都ヵ,宇治,,,1662/06/16,寛文2/05/01,伝聞ヵ,その他,135.800191,34.884342,狩野亨吉氏蒐集文書　十六、緯度経度は宇治市役所周辺,
23,新収日本地震史料第2巻,京都帝国大学所蔵文書,"（寛文二年五月一日地震所々破損覚）
一、二条御城中少々",京都ヵ,二条城,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.747671,35.013882,狩野亨吉氏蒐集文書　十七、冒頭「牧野佐土守（マヽ）江戸へ言上之由也」とあり,
24,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、家八十六軒,京都ヵ,洛中,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.768099,35.011703,狩野亨吉氏蒐集文書　十七、緯度経度は京都市役所,
25,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、古蔵四十六ヶ所,京都ヵ,洛中,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.768099,35.011703,狩野亨吉氏蒐集文書　十七、緯度経度は京都市役所,
26,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、筑地五百間程、八ヶ所,京都ヵ,洛中,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.768099,35.011703,狩野亨吉氏蒐集文書　十七、緯度経度は京都市役所,
27,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、長塀弐百間程、五ヶ所,京都ヵ,洛中,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.768099,35.011703,狩野亨吉氏蒐集文書　十七、緯度経度は京都市役所,
28,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、死人男女八人,京都ヵ,洛中,,,1662/06/16,寛文2/05/01,伝聞ヵ,人的被害,135.768099,35.011703,狩野亨吉氏蒐集文書　十七、緯度経度は京都市役所,
29,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、五条石橋大破,京都ヵ,洛中・五条大橋,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7678522,34.99544216,狩野亨吉氏蒐集文書　十七,
30,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、三条大小橋少破,京都ヵ,洛中・三条大橋,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.771446,35.008705,狩野亨吉氏蒐集文書　十七,
31,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、粟田口白川橋同断,京都ヵ,洛中・白川橋,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7808105,35.00934603,狩野亨吉氏蒐集文書　十七,
32,新収日本地震史料第2巻,京都帝国大学所蔵文書,（洛中）一、北野本社末社同境内,京都ヵ,北野天満宮,,,1662/06/16,寛文2/05/01,伝聞ヵ,,135.7351345,35.03120247,狩野亨吉氏蒐集文書　十七,
33,新収日本地震史料第2巻,京都帝国大学所蔵文書,"町屋
一、祇園石鳥井倒（マヽ）、石燈籠崩",京都ヵ,祇園社,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.778599,35.003654,狩野亨吉氏蒐集文書　十七,
34,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、清水石燈籠廿崩、其前破損,京都ヵ,清水寺,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7850591,34.99484403,狩野亨吉氏蒐集文書　十七,
35,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、大仏筑地廻廊其前石垣崩,京都ヵ,方広寺,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7723466,34.99239408,狩野亨吉氏蒐集文書　十七、緯度経度は方広寺石塁および石塔,
36,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、知恩院方丈并寺中悉破損,京都ヵ,知恩院,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7835651,35.00523297,狩野亨吉氏蒐集文書　十七,
37,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、五山之寺中及大破,京都ヵ,京都,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.7681095,35.0116707,"狩野亨吉氏蒐集文書　十七
緯度経度は便宜的に京都市役所地点",
38,新収日本地震史料第2巻,京都帝国大学所蔵文書,"八幡
一、家三十七軒",京都ヵ,八幡市,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.707687,34.875204,狩野亨吉氏蒐集文書　十七、緯度経度は八幡市役所,
39,新収日本地震史料第2巻,京都帝国大学所蔵文書,（八幡）一、塀七百卅五間,京都ヵ,八幡市,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.707687,34.875204,狩野亨吉氏蒐集文書　十七、緯度経度は八幡市役所,
40,新収日本地震史料第2巻,京都帝国大学所蔵文書,"伏見
一、舟入東の町壱丁余潰",京都ヵ,伏見,,,1662/06/16,寛文2/05/01,伝聞ヵ,地変ヵ,135.761436,34.93601,狩野亨吉氏蒐集文書　十七、緯度経度は伏見市役所,
41,新収日本地震史料第2巻,京都帝国大学所蔵文書,（伏見）一、水野石見守殿長や破損,京都ヵ,伏見,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.761436,34.93601,狩野亨吉氏蒐集文書　十七、緯度経度は伏見市役所,
42,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、大津御米蔵不残潰申候,京都ヵ,滋賀・大津ヵ,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.854332,35.017863,狩野亨吉氏蒐集文書　十七、緯度経度は大津市役所,
43,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、高槻城中破損,京都ヵ,高槻城,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.6219327,34.84370091,狩野亨吉氏蒐集文書　十七、緯度経度は高槻城跡,
44,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、膳所城中矢倉二ヶ所崩、天守乾坤へひつミ多門塀石垣破損,京都ヵ,膳所城,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.8949248,34.99547702,狩野亨吉氏蒐集文書　十七、緯度経度は膳所城跡,
45,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、丹州かめ山城中大破,京都ヵ,丹波亀山城,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.583267,35.012676,狩野亨吉氏蒐集文書　十七、緯度経度は亀山城跡,
46,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、分部若狭守殿領分内大溝家中町屋大破、田畠損、在郷之家千弐百軒潰申、死人廿人、馬五疋死申候,京都ヵ,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,136.0110192,35.29507812,狩野亨吉氏蒐集文書　十七、緯度経度は大溝陣屋,町屋被害
47,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、分部若狭守殿領分内大溝家中町屋大破、田畠損、在郷之家千弐百軒潰申、死人廿人、馬五疋死申候,京都ヵ,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,136.0110192,35.29507812,狩野亨吉氏蒐集文書　十七、緯度経度は大溝陣屋,田畑被害
48,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、分部若狭守殿領分内大溝家中町屋大破、田畠損、在郷之家千弐百軒潰申、死人廿人、馬五疋死申候,京都ヵ,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,136.0110192,35.29507812,狩野亨吉氏蒐集文書　十七、緯度経度は大溝陣屋,在郷の家被害
49,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、分部若狭守殿領分内大溝家中町屋大破、田畠損、在郷之家千弐百軒潰申、死人廿人、馬五疋死申候,京都ヵ,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞ヵ,人的被害,136.0110192,35.29507812,狩野亨吉氏蒐集文書　十七、緯度経度は大溝陣屋,
50,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、朽木権佐殿領分江州朽木大破にて立斎居屋敷家潰申候、立斎死は台所より出火にて潰家不残焼失申候,京都ヵ,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,135.9209156,35.35676617,狩野亨吉氏蒐集文書　十七、緯度経度は朽木陣屋跡,
51,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、朽木権佐殿領分江州朽木大破にて立斎居屋敷家潰申候、立斎死は台所より出火にて潰家不残焼失申候,京都ヵ,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞ヵ,火事,135.9209156,35.35676617,狩野亨吉氏蒐集文書　十七、緯度経度は朽木陣屋跡,
52,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、朽木権佐殿領分江州朽木大破にて立斎居屋敷家潰申候、立斎死は台所より出火にて潰家不残焼失申候,京都ヵ,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞ヵ,人的被害,135.9209156,35.35676617,狩野亨吉氏蒐集文書　十七、緯度経度は朽木陣屋跡,
53,新収日本地震史料第2巻,京都帝国大学所蔵文書,一、江州長原之御殿、櫓二ケ所乾坤の角其前大破,京都ヵ,滋賀・永原御殿,,,1662/06/16,寛文2/05/01,伝聞ヵ,建物被害,136.0352276,35.09235376,狩野亨吉氏蒐集文書　十七、緯度経度は永原御殿跡,
54,新収日本地震史料第2巻,佐土原藩譜,"○寛文二　五月二日
京師地大ニ震フ　町家幸ニシテ恙ナシ　惟タ大仏近傍処々ニ弊家アルノミ別ニ五条ノ石橋陥没ス橋元ト柱貫挽物橋板欄干等皆ナ石造タリ　基礎切石ヲ河中ニ埋敷ス謂フ幾許ノ洪水ニ触当スルモ敢テ顧念ナシ万代無朽ノ牢橋ナリト万商店ヲ橋上ニ営ミ□乞群ヲ橋下ニ占ム　喜笑自ラ楽ム何ソ計ン一夕橋梁ノ断崩セントハ",宮崎ヵ,五条大橋,1662/06/17,寛文2/05/02,,,伝聞ヵ,建物被害,135.7678522,34.99544216,宮崎県立図書館,
55,新収日本地震史料第2巻,佐土原藩譜,（○寛文二　五月二日）商物悉ク壊滅シ或ハ人ヲ傷ク只憫然ニ堪ヘザル者ハ圧下ノ乞食者ノミ　斃死相枕スル無数ナリ,宮崎ヵ,五条大橋,1662/06/17,寛文2/05/02,,,伝聞ヵ,人的被害,135.7678522,34.99544216,宮崎県立図書館,
56,増訂大日本地震史料 第1巻,元延實録,寛文二年五月朔日、巳之下刻京都大地震、京師之民家及大破、,,京都,,,1662/06/16,寛文2/05/01,,建物被害,135.7681095,35.0116707,緯度経度は便宜的に京都市役所地点,
57,増訂大日本地震史料 第1巻,元延實録,京都之地震と同日に、井伊玄蕃頭が居城江州彦根、並本多内記居城和州郡山、岡部内記が居城泉州岸和田、地震にて大に破産すと及承候、猶重而委細注進可仕云々、,,彦根城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,136.2505626,35.27594132,緯度経度は彦根城跡,
58,増訂大日本地震史料 第1巻,元延實録,京都之地震と同日に、井伊玄蕃頭が居城江州彦根、並本多内記居城和州郡山、岡部内記が居城泉州岸和田、地震にて大に破産すと及承候、猶重而委細注進可仕云々、,,大和郡山城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.7790693,34.65200795,緯度経度は大和郡山城跡,
59,増訂大日本地震史料 第1巻,元延實録,京都之地震と同日に、井伊玄蕃頭が居城江州彦根、並本多内記居城和州郡山、岡部内記が居城泉州岸和田、地震にて大に破産すと及承候、猶重而委細注進可仕云々、,,岸和田城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.370778,34.45879015,,
60,増訂大日本地震史料 第1巻,元延實録,分部若狹守が在所、近江大溝より注進にて云々、朔日巳之下刻大地震にて、居屋敷、侍屋敷、在々所々、大方不淺潰れ候、潰れ家九百八十二軒、内六十一軒侍屋數、殘ては歩行以下六百八十軒、百姓之家三十軒、寺家等なり、,,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞,建物被害,136.0110192,35.29507812,緯度経度は大溝陣屋,
61,増訂大日本地震史料 第1巻,元延實録,死人三十七人、内三人者侍、二十一人は町人、十三人は寺法師也、百姓なり、百姓之馬五疋死す、,,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞,人的被害,136.0110192,35.29507812,緯度経度は大溝陣屋,
62,増訂大日本地震史料 第1巻,元延實録,其外川除土手道橋及大破と云々、,,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞,建物被害,136.0110192,35.29507812,緯度経度は大溝陣屋,
63,増訂大日本地震史料 第1巻,元延實録,同日石川主殿頭方より注進に曰、朔日卯之上刻、居城勢州龜山大地震、城中所々破損し、石垣五十四間崩れ候、其外道橋大破數多有之由なり、,,伊勢亀山城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,136.4501645,34.85646156,緯度経度は伊勢亀山城跡,
64,増訂大日本地震史料 第1巻,元延實録,同日石川主殿頭方より注進に曰、朔日卯之上刻、居城勢州龜山大地震、城中所々破損し、石垣五十四間崩れ候、其外道橋大破數多有之由なり、,,伊勢亀山城,,,1662/06/16,寛文2/05/01,伝聞,その他,136.4501645,34.85646156,緯度経度は伊勢亀山城跡,
65,増訂大日本地震史料 第1巻,元延實録,同八日、朽木權之助が父兵部入道立齋が居宅虹梁落て立齋死す、此外家潰れて死する者多しと云、,,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.9209156,35.35676617,緯度経度は朽木陣屋跡,
66,増訂大日本地震史料 第1巻,元延實録,同八日、朽木權之助が父兵部入道立齋が居宅虹梁落て立齋死す、此外家潰れて死する者多しと云、,,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞,人的被害,135.9209156,35.35676617,緯度経度は朽木陣屋跡,
67,増訂大日本地震史料 第1巻,元延實録,同日、松平伊賀守方より注進に云、當月朔日午之刻、伊賀守居城丹波龜山、大地震して、櫓多門塀及大損候、侍屋敷町家在々民屋、潰家若干有り、然れ共天寺は破損無之といへり、,,丹波亀山城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.583267,35.012676,緯度経度は亀山城跡,
68,増訂大日本地震史料 第1巻,元延實録,同日、本多下總守居城江州膳所之飛脚到來、注進に云く、當月朔日、居城膳所大地震にて、天守許り殘り、其外櫓等大に破損すと云々、,,膳所城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.8949248,34.99547702,緯度経度は膳所城,
69,増訂大日本地震史料 第1巻,元延實録,京都より重て注進に云、朔日より今日匙迄、毎日毎夜六七度ヅツ地震有、禁中、仙院、女院、本院、新院を奉始、御假屋に行幸有之、御用心有り、京中之町人は河原へ出で、假屋を構へ居住任候云々、,,京都御所,,,1662/06/16,寛文2/05/01,伝聞,避難,135.7623566,35.02629297,緯度経度は便宜的に現・京都御所地点,
70,増訂大日本地震史料 第1巻,元延實録,同十日、攝州大坂より地震注進之状來る、其状曰、一去四月廿七日、午之上刻、西南之方に日月星之三光出現す、諸人見之候、,,大阪,,,1662/6/13,寛文2/4/27,伝聞,天変,,,,
71,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一五月朔日、午上刻大地震、大坂御城中外典輪共に大破有り、大手之冠木門、東之方へ少々傾き、堀端之地一尺程ヅツ破候、,,大坂城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.526125,34.686328,大阪府大阪市中央区大阪城,
72,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一町中地震にて死人甚大勢に候、末ダ員數聢と不知、産後府後之女は、絶死仕候氣不付して死たるも多有之候、,,大阪,,,1662/06/16,寛文2/05/01,伝聞,人的被害,,,,
73,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一其後も度々之地震に付、町中以之外騷動し、晝夜共に船に乘り、海上に居住す、又船之才覺難成者は、海又は（岸脱カ）河原に假屋を構へ住任候、,,大阪,,,1662/06/16,寛文2/05/01,伝聞,避難,,,,
74,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一天王寺、住吉稻荷之石華表搖落し、悉く折候、天神之石華表折、其邊に居候飴賣一人、石に中り死す、,,大阪・四天王寺,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.5168869,34.65377197,,
75,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一天王寺、住吉稻荷之石華表搖落し、悉く折候、天神之石華表折、其邊に居候飴賣一人、石に中り死す、,,大阪・四天王寺,,,1662/06/16,寛文2/05/01,伝聞,人的被害,135.5168869,34.65377197,,
76,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一稻荷之脇に候門徒寺之裏畠之内、五六間搖破り中より泥涌出候,,大阪ヵ,,,1662/06/16,寛文2/05/01,伝聞,液状化,,,,
77,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一五月三日申ノ下刻、西より東へ光物飛、其大成事挑燈之如し、落所不知、此外夜中光物は度々有之、諸人珍事と沙汰仕候、,,大阪ヵ,,,1662/06/18,寛文3/5/3,伝聞,天変,,,,
78,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一尼ケ崎之城、朔日より之地震に、總曲輪其外所々大破之由、注進有之候、,,尼崎城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.4187959,34.71671153,,
79,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一若州小濱朔日之地震に、對面屋、倉、其外曲輪之石垣百間餘崩候、侍屋敷大方潰れ町屋は勿論、其他三四尺程破れ中より泥涌出候由注進有之候、,,小浜城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.7463119,35.50424649,緯度経度は小浜城址,
80,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一若州小濱朔日之地震に、對面屋、倉、其外曲輪之石垣百間餘崩候、侍屋敷大方潰れ町屋は勿論、其他三四尺程破れ中より泥涌出候由注進有之候、,,小浜城,,,1662/06/16,寛文2/05/01,伝聞,液状化,135.7463119,35.50424649,緯度経度は小浜城址,
81,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一京都之事ハ、定て彼地より注進可有之候得共、有増を申上候、内裏仙洞院々之築地は悉く崩れ候、,,京都御所,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.7623566,35.02629297,緯度経度は便宜的に現・京都御所地点,
82,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一二條之御城、少々破損之由及承候、並五條之橋崩れ落候、,,二条城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.747671,35.013882,,
83,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一亀山之城大破之由、並膳所之城、天守計殘り候由及承候、,,亀山城（丹波ヵ）,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.583267,35.012676,緯度経度は亀山城跡,
84,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一亀山之城大破之由、並膳所之城、天守計殘り候由及承候、,,膳所城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.8949248,34.99547702,緯度経度は膳所城,
85,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一水口之御城、御殿破損、並中原之御茶屋崩れ落候、,,水口城,,,1662/06/16,寛文2/05/01,伝聞,建物被害,136.1648416,34.97072594,,
86,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一水口之御城、御殿破損、並中原之御茶屋崩れ落候、,,中原御殿,,,1662/06/16,寛文2/05/01,伝聞,建物被害,139.3305188,35.34409624,緯度経度は跡地となる平塚市立中原小学校,
87,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一江州朽木谷は不殘、朽本立齋卒す、虹梁落て也、同家より出火、不殘消失之由及承候、,,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞,建物被害,135.9209156,35.35676617,緯度経度は朽木陣屋跡,
88,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一江州朽木谷は不殘、朽本立齋卒す、虹梁落て也、同家より出火、不殘消失之由及承候、,,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞,人的被害,135.9209156,35.35676617,緯度経度は朽木陣屋跡,
89,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一江州朽木谷は不殘、朽本立齋卒す、虹梁落て也、同家より出火、不殘消失之由及承候、,,滋賀・朽木,,,1662/06/16,寛文2/05/01,伝聞,火事,135.9209156,35.35676617,緯度経度は朽木陣屋跡,
90,増訂大日本地震史料 第1巻,元延實録,（攝州大坂より地震注進之状）一江州大溝、家數八百軒餘崩れ候、,,滋賀・大溝,,,1662/06/16,寛文2/05/01,伝聞,建物被害,136.0110192,35.29507812,緯度経度は大溝陣屋,
